tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2013-01-08,1150,AVELLANEDA Nº 3,Buenos Aires,Protocolo 21,2013,92,TRACTOR C/CABINA DORMITORIO,120,SCANIA,298,P340 A4X2,1,Privado,Jurídica,AVELLANEDA,BUENOS AIRES,No aplica,2004,No aplica,100,06,
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2017-07-25,1153,LA MATANZA Nº 05,Buenos Aires,Nacional,2017,92,OMNIBUS,29,MERCEDES BENZ,GB,BMO 384 VERSION 1621 CA,2,Público,Jurídica,ISIDRO CASANOVA,BUENOS AIRES,No aplica,1986,No aplica,100,06,
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2016-07-26,1153,LA MATANZA Nº 05,Buenos Aires,Protocolo 21,2016,05,SEDAN 5 PUERTAS,104,PEUGEOT,784,208 GT 1.6 THP,1,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,Femenino,1999,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2019-02-06,1160,SAN MARTIN Nº 4,Buenos Aires,Protocolo 21,2019,05,SEDAN 5 PUERTAS,104,PEUGEOT,861,208 ALLURE 1.6 115,1,Privado,Física,VILLA BALLESTER,BUENOS AIRES,Femenino,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2012-10-04,1162,OLAVARRIA Nº 2,Buenos Aires,Importado,2012,10,TODO TERRENO,018,BMW,418,X1 20I,1,Privado,Física,OLAVARRIA,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-03-12,1178,LA MATANZA Nº 08,Buenos Aires,Protocolo 21,2008,04,RURAL 5 PTAS,047,FORD,597,ECOSPORT 1.6 L 4X2 XL PLUS,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Femenino,1967,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2019-11-01,1178,LA MATANZA Nº 08,Buenos Aires,Protocolo 21,2019,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,638,POLO TRENDLINE 1.6 MSI 110CV,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2012-08-09,1183,OLIVOS Nº 06,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,34,PEUGEOT,LT,308 FELINE TIPTRONIC 2.0N,1,Privado,Física,CARAPACHAY,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2017-12-20,1189,FLORENCIO VARELA Nº 2,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,53,VOLKSWAGEN,5W,SURAN 1.6L 5D TRACK 350,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2016-03-10,1001,ADROGUE Nº 1,Buenos Aires,Protocolo 21,2016,02,SEDAN 4 PUERTAS,130,TOYOTA,875,COROLLA XLI 1.8 CVT,1,Privado,Física,JOSE MARMOL,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2013-06-25,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,19,FORD,VZ,FOCUSEXE TREND 1.6L NAFTA,1,Privado,Física,AVELLANEDA,BUENOS AIRES,Masculino,1984,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2009-07-31,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2009,05,SEDAN 5 PTAS,112,RENAULT,710,SANDERO STEPWAY LUXE 1.6 16V,1,Privado,Física,VILLA DOMINICO-AVELLANEDA,BUENOS AIRES,Femenino,1964,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2012-02-23,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PUERTAS,044,FIAT,732,PUNTO ESSENCE 1.6 16V,1,Privado,Física,WILDE,BUENOS AIRES,No identificado,1952,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1983-08-10,1016,CARLOS CASARES,Buenos Aires,Nacional,1983,,ACOPLADO,,ARMADO FUERA DE FABRICA,,AÑO 1982,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,No identificado,100,06,
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2007-12-06,1016,CARLOS CASARES,Buenos Aires,Importado,2007,08,ACOPLADO,176,TORRESI,BC1,A.B.V.3,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1974-05-24,1016,CARLOS CASARES,Buenos Aires,Nacional,1974,23,CAMION,17,FIAT,13,619 N1,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2014-03-18,1016,CARLOS CASARES,Buenos Aires,Protocolo 21,2014,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,495,GOL TREND 1.6 GP,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
